Derivatives Data - All Derivatives,,,,,,,,,,,,,,,,,,
As of 30/06/2024
Underlying Asset,Derivative Name,ISIN,Contract Unit,Closing Price (NIS),Volume,Turnover Value (NIS),Transactions,Delta,Last Trade,High,Low,Change (%),Change in Points,Volume in terms of underlying asset (NIS thousands), Open Positions,% Change in positions,Strike Price,Exercise Date
TA-35 Index,T35-C002000D107,IL0850496907,50.00,75.00,2073,162413.00,672,24.30,EoD,230.00,22.00,-48.98,-72.00,205733.85,175,775.0,2000.00,03/07/2024
TA-35 Index,T35-P002000D107,IL0850505160,50.00,864.00,1178,1200390.00,525,-75.70,EoD,1400.00,690.00,-34.05,-446.00,116910.02,9,0.0,2000.00,03/07/2024
TA-35 Index,T35-C002010D107,IL0850503009,50.00,35.00,836,24452.00,285,15.81,EoD,100.00,11.00,-56.25,-45.00,82968.40,183,771.4,2010.00,03/07/2024
TA-35 Index,T35-P002010D107,IL0850511267,50.00,1331.00,8,11440.00,6,-84.19,EoD,1590.00,1230.00,-24.20,-425.00,793.96,2,0.0,2010.00,03/07/2024
TA-35 Index,T35-C002020D107,IL0850498986,50.00,18.00,900,15032.00,199,9.57,EoD,44.00,6.00,-64.00,-32.00,89320.05,304,533.3,2020.00,03/07/2024
TA-35 Index,T35-P002020D107,IL0850507141,50.00,1814.00,3,5310.00,3,-90.43,EoD,1820.00,1720.00,-18.51,-412.00,297.73,0,0.0,2020.00,03/07/2024
TA-35 Index,T35-C002030D107,IL0850503181,50.00,11.00,374,3951.00,83,5.38,EoD,18.00,4.00,-54.17,-13.00,37117.44,485,165.0,2030.00,03/07/2024
TA-35 Index,T35-P002030D107,IL0850511341,50.00,2307.00,0,0.00,0,-94.62,EoD,,,-14.56,-393.00,0.00,0,0.0,2030.00,03/07/2024
TA-35 Index,T35-C002040D107,IL0850499067,50.00,5.00,602,2869.00,79,2.81,EoD,10.00,4.00,-58.33,-7.00,59745.19,59,0.0,2040.00,03/07/2024
TA-35 Index,T35-P002040D107,IL0850507224,50.00,2801.00,0,0.00,0,-97.19,EoD,,,-12.11,-386.00,0.00,0,0.0,2040.00,03/07/2024
TA-35 Index,T35-C002050D107,IL0850503264,50.00,3.00,304,1145.00,22,1.36,EoD,5.00,3.00,-62.50,-5.00,30170.33,98,69.0,2050.00,03/07/2024
TA-35 Index,T35-P002050D107,IL0850511424,50.00,3299.00,3,10550.00,2,-98.64,EoD,3550.00,3500.00,-10.43,-384.00,297.73,0,0.0,2050.00,03/07/2024
TA-35 Index,T35-C002060D107,IL0850499141,50.00,2.00,243,827.00,38,0.61,EoD,6.00,3.00,-60.00,-3.00,24116.41,186,785.7,2060.00,03/07/2024
TA-35 Index,T35-P002060D107,IL0850507307,50.00,3798.00,0,0.00,0,-99.39,EoD,,,-9.14,-382.00,0.00,0,0.0,2060.00,03/07/2024
TA-35 Index,T35-C002070D107,IL0850503348,50.00,2.00,27,57.00,21,0.25,EoD,4.00,2.00,-33.33,-1.00,2679.60,199,1558.3,2070.00,03/07/2024
TA-35 Index,T35-P002070D107,IL0850511598,50.00,4298.00,0,0.00,0,-99.75,EoD,,,-8.12,-380.00,0.00,0,0.0,2070.00,03/07/2024
TA-35 Index,T35-C002080D107,IL0850499224,50.00,2.00,0,0.00,0,0.10,EoD,,,-50.00,-2.00,0.00,38,0.0,2080.00,03/07/2024
TA-35 Index,T35-P002080D107,IL0850507489,50.00,4797.00,0,0.00,0,-99.90,EoD,,,-7.36,-381.00,0.00,0,0.0,2080.00,03/07/2024
TA-35 Index,T35-C002090D107,IL0850503421,50.00,2.00,0,0.00,0,0.03,EoD,,,0.00,0.00,0.00,90,0.0,2090.00,03/07/2024
TA-35 Index,T35-P002090D107,IL0850511671,50.00,5297.00,0,0.00,0,-99.97,EoD,,,-6.68,-379.00,0.00,0,0.0,2090.00,03/07/2024
TA-35 Index,T35-C002100D107,IL0850499307,50.00,4.00,0,0.00,0,0.01,EoD,,,100.00,2.00,0.00,2,0.0,2100.00,03/07/2024
TA-35 Index,T35-P002100D107,IL0850507554,50.00,5799.00,0,0.00,0,-99.99,EoD,,,-6.10,-377.00,0.00,0,0.0,2100.00,03/07/2024
TA-35 Index,T35-C002110D107,IL0850503595,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,0,0.0,2110.00,03/07/2024
TA-35 Index,T35-P002110D107,IL0850511754,50.00,6295.00,0,0.00,0,-100.00,EoD,,,-5.69,-380.00,0.00,0,0.0,2110.00,03/07/2024
TA-35 Index,T35-C002120D107,IL0850499489,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,0,0.0,2120.00,03/07/2024
TA-35 Index,T35-P002120D107,IL0850507638,50.00,6795.00,0,0.00,0,-100.00,EoD,,,-5.30,-380.00,0.00,0,0.0,2120.00,03/07/2024
TA-35 Index,T35-C002130D107,IL0850503678,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,1,0.0,2130.00,03/07/2024
TA-35 Index,T35-P002130D107,IL0850511838,50.00,7295.00,0,0.00,0,-100.00,EoD,,,-4.95,-380.00,0.00,0,0.0,2130.00,03/07/2024
TA-35 Index,T35-C002140D107,IL0850499554,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2140.00,03/07/2024
TA-35 Index,T35-P002140D107,IL0850507711,50.00,7795.00,0,0.00,0,-100.00,EoD,,,-4.62,-378.00,0.00,0,0.0,2140.00,03/07/2024
TA-35 Index,T35-C002150D107,IL0850503751,50.00,1.00,0,0.00,0,0.00,EoD,,,999999.99,1.00,0.00,0,0.0,2150.00,03/07/2024
TA-35 Index,T35-P002150D107,IL0850511911,50.00,8296.00,0,0.00,0,-100.00,EoD,,,-4.34,-376.00,0.00,0,0.0,2150.00,03/07/2024
TA-35 Index,T35-C002160D107,IL0850499638,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2160.00,03/07/2024
TA-35 Index,T35-P002160D107,IL0850507893,50.00,8795.00,0,0.00,0,-100.00,EoD,,,-4.11,-377.00,0.00,0,0.0,2160.00,03/07/2024
TA-35 Index,T35-C002170D107,IL0850503835,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2170.00,03/07/2024
TA-35 Index,T35-P002170D107,IL0850512091,50.00,9294.00,0,0.00,0,-100.00,EoD,,,-3.91,-378.00,0.00,0,0.0,2170.00,03/07/2024
TA-35 Index,T35-C002180D107,IL0850499711,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2180.00,03/07/2024
TA-35 Index,T35-P002180D107,IL0850507976,50.00,9794.00,0,0.00,0,-100.00,EoD,,,-3.71,-377.00,0.00,0,0.0,2180.00,03/07/2024
TA-35 Index,T35-C002190D107,IL0850503918,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2190.00,03/07/2024
TA-35 Index,T35-P002190D107,IL0850512174,50.00,10294.00,0,0.00,0,-100.00,EoD,,,-3.53,-377.00,0.00,0,0.0,2190.00,03/07/2024
TA-35 Index,T35-C002200D107,IL0850499893,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2200.00,03/07/2024
TA-35 Index,T35-P002200D107,IL0850508057,50.00,10794.00,0,0.00,0,-100.00,EoD,,,-3.37,-377.00,0.00,0,0.0,2200.00,03/07/2024
TA-35 Index,T35-C002210D107,IL0850504098,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2210.00,03/07/2024
TA-35 Index,T35-P002210D107,IL0850512257,50.00,11294.00,0,0.00,0,-100.00,EoD,,,-3.22,-376.00,0.00,0,0.0,2210.00,03/07/2024
TA-35 Index,T35-C002220D107,IL0850499976,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2220.00,03/07/2024
TA-35 Index,T35-P002220D107,IL0850508131,50.00,11794.00,0,0.00,0,-100.00,EoD,,,-3.09,-376.00,0.00,0,0.0,2220.00,03/07/2024
TA-35 Index,T35-C002230D107,IL0850504171,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2230.00,03/07/2024
TA-35 Index,T35-P002230D107,IL0850512331,50.00,12294.00,0,0.00,0,-100.00,EoD,,,-2.97,-376.00,0.00,0,0.0,2230.00,03/07/2024
TA-35 Index,T35-C002240D107,IL0850500039,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2240.00,03/07/2024
TA-35 Index,T35-P002240D107,IL0850508214,50.00,12794.00,0,0.00,0,-100.00,EoD,,,-2.85,-376.00,0.00,0,0.0,2240.00,03/07/2024
TA-35 Index,T35-C002250D107,IL0850504254,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2250.00,03/07/2024
TA-35 Index,T35-P002250D107,IL0850512414,50.00,13293.00,0,0.00,0,-100.00,EoD,,,-2.75,-376.00,0.00,0,0.0,2250.00,03/07/2024
TA-35 Index,T35-C002260D107,IL0850500112,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2260.00,03/07/2024
TA-35 Index,T35-P002260D107,IL0850508396,50.00,13793.00,0,0.00,0,-100.00,EoD,,,-2.65,-376.00,0.00,0,0.0,2260.00,03/07/2024
TA-35 Index,T35-C002270D107,IL0850504338,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2270.00,03/07/2024
TA-35 Index,T35-P002270D107,IL0850512588,50.00,14293.00,0,0.00,0,-100.00,EoD,,,-2.56,-376.00,0.00,0,0.0,2270.00,03/07/2024
TA-35 Index,T35-C002280D107,IL0850500294,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2280.00,03/07/2024
TA-35 Index,T35-P002280D107,IL0850508479,50.00,14793.00,0,0.00,0,-100.00,EoD,,,-2.47,-375.00,0.00,0,0.0,2280.00,03/07/2024
TA-35 Index,T35-C002290D107,IL0850504411,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2290.00,03/07/2024
TA-35 Index,T35-P002290D107,IL0850512661,50.00,15293.00,0,0.00,0,-100.00,EoD,,,-2.39,-375.00,0.00,0,0.0,2290.00,03/07/2024
TA-35 Index,T35-C002300D107,IL0850500377,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2300.00,03/07/2024
TA-35 Index,T35-P002300D107,IL0850508545,50.00,15793.00,0,0.00,0,-100.00,EoD,,,-2.32,-375.00,0.00,0,0.0,2300.00,03/07/2024
TA-35 Index,T35-C002310D107,IL0850504585,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,0,0.0,2310.00,03/07/2024
TA-35 Index,T35-P002310D107,IL0850512745,50.00,16293.00,0,0.00,0,-100.00,EoD,,,-2.24,-374.00,0.00,0,0.0,2310.00,03/07/2024
TA-35 Index,T35-C002320D107,IL0850500450,50.00,5.00,0,0.00,0,0.00,EoD,,,999999.99,5.00,0.00,0,0.0,2320.00,03/07/2024
TA-35 Index,T35-P002320D107,IL0850508628,50.00,16798.00,0,0.00,0,-100.00,EoD,,,-2.15,-369.00,0.00,0,0.0,2320.00,03/07/2024
TA-35 Index,T35-C002330D107,IL0850504668,50.00,5.00,0,0.00,0,0.00,EoD,,,999999.99,5.00,0.00,0,0.0,2330.00,03/07/2024
TA-35 Index,T35-P002330D107,IL0850512828,50.00,17298.00,0,0.00,0,-100.00,EoD,,,-2.09,-369.00,0.00,0,0.0,2330.00,03/07/2024
TA-35 Index,T35-C002340D107,IL0850500526,50.00,3.00,0,0.00,0,0.00,EoD,,,999999.99,3.00,0.00,0,0.0,2340.00,03/07/2024
TA-35 Index,T35-P002340D107,IL0850508701,50.00,17795.00,0,0.00,0,-100.00,EoD,,,-2.05,-372.00,0.00,0,0.0,2340.00,03/07/2024
TA-35 Index,T35-C002350D107,IL0850504742,50.00,3.00,0,0.00,0,0.00,EoD,,,999999.99,3.00,0.00,0,0.0,2350.00,03/07/2024
TA-35 Index,T35-P002350D107,IL0850512901,50.00,18295.00,0,0.00,0,-100.00,EoD,,,-1.99,-371.00,0.00,0,0.0,2350.00,03/07/2024
TA-35 Index,T35-C002360D107,IL0850500609,50.00,2.00,0,0.00,0,0.00,EoD,,,999999.99,2.00,0.00,0,0.0,2360.00,03/07/2024
TA-35 Index,T35-P002360D107,IL0850508883,50.00,18794.00,0,0.00,0,-100.00,EoD,,,-1.94,-372.00,0.00,0,0.0,2360.00,03/07/2024
TA-35 Index,T35-C002370D107,IL0850504825,50.00,2.00,0,0.00,0,0.00,EoD,,,999999.99,2.00,0.00,0,0.0,2370.00,03/07/2024
